,text,senti,Sentiment_Score
291,Every Indian is very proud of our armed forces Their courage is remarkable Urged the armed forces to think about various reforms that would make the forces even stronger Also discussed ways to integrate brave veterans in the celebrations to mark  years of Independence,positive,1
292,The Combined Commanders’ Conference at Kevadia was a fruitful one There were extensive deliberations on various strategic subjects Highlighted the need for making India Aatmanirbhar in the defence sector and reiterated the Government’s support for it  ,positive,1
293,Our close cooperation across areas like innovation RampD climate change and clean technology trade amp investment will contribute to sustainable recovery in the postCOVID worldI welcome Sweden’s decision to join the International Solar Alliance ISA,positive,1
294,Thank you PM Stefan Löfven  for the fruitful discussion at our virtual summit todayIndiaSwedenSambandh are rooted in shared values of democracy freedom and rule of law,positive,1
295,My remarks at the CERAWeek  ,neutral,0
296,Addressing the Virtual Summit with  Stefan Löfven ,neutral,0
297,Speaking on steps taken to boost trade and industry in this year’s Budget ,positive,1
298,Tributes to Biju Babu on his birth anniversary His futuristic vision for India emphasis on human empowerment as well as social justice inspires us all The nation is proud of his efforts for Odisha’s progress,positive,1
299,Happy birthday to the energetic leader of BJP and Chief Minister of Madhya Pradesh Shivraj Singh Chauhan ji He has given new heights of development to the state under his leadership I wish him a happy healthy and longevity life ,positive,1
300,Thank you PM  Special friendship between our nations has always helped us bridge geographic distances VaccineMaitri is proud to support vaccination efforts of Barbados and other CARICOM countries ,positive,1
301,Gratitude to all the nations who initiated and cosponsored the resolution on International Year of Millets at the Distinguished delegates were also served delicious Millet Murukku This is one snack I also relish and urge all of you to try it as well ,positive,1
302,India is honoured to be at the forefront of popularising Millets whose consumption furthers nutrition food security and welfare of farmers This also offers research and innovation opportunities for agriculture scientists and startup communities ,positive,1
303,Discussing the steps taken in this year’s Budget for the education sector ,neutral,0
304,On WorldWildlifeDay I salute all those working towards wildlife protection Be it lions tigers and leopards India is seeing a steady rise in the population of various animals We should do everything possible to ensure protection of our forests and safe habitats for animals,positive,1
305,The urban and rural areas of Gujarat have unanimously stamped on development While the public interest work of the government has made a place in the hearts of the people the tireless hard work of BJP workers has paid off Will continue to work for the progress and progress of the state ,positive,1
306,The results of the municipal taluka panchayat and zilla panchayat elections in Gujarat have made their message clear The entire state stands firmly in line with the agenda of development good governance and public welfare I wish Gujarat for unwavering faith and boundless affection for the BJP I bow to the public ,positive,1
307,Urban and rural Gujarat has given a unanimous message I admire the propeople administration of the Gujarat government and the tremendous efforts of the Gujarat BJP workers Our party will always work for the development of Gujarat and the empowerment of every Gujarati,positive,1
308,The results of Municipal Taluka Panchayat and District Panchayat elections across Gujarat have sent a clear message  the people of Gujarat strongly support the BJPs development and good governance agenda I salute the people of Gujarat for their unwavering faith and affection for the BJP,positive,1
309,Urban and rural Gujarat has given a unanimous message I applaud the propeople work of the Gujarat Government and appreciate the stupendous effort of the Gujarat BJP Karyakartas Our Party will keep working for the development of Gujarat and the empowerment of every Gujarati,positive,1
310,Results of the Nagar Palika Taluka Panchayat and District Panchayat polls across Gujarat give a crystal clear message Gujarat is firmly with the BJP’s agenda of development and good governance I bow to the people of Gujarat for the unwavering faith and affection towards BJP,positive,1
311,Addressing the Maritime India Summit  Watch ,neutral,0
312,Saddened by the demise of Lok Sabha MP from Khandwa Shri Nandkumar Singh Chauhan Ji He will be remembered for his contributions to Parliamentary proceedings organisational skills and efforts to strengthen the BJP across Madhya Pradesh Condolences to his family Om Shanti,negative,-1
313,At  AM tomorrow nd March the Maritime India Summit would be inaugurated This Summit brings together key stakeholders from the maritime sector and will play a leading role in furthering the growth of India’s maritime economy,positive,1
314,Speaking on the steps taken for agriculture in this year’s Budget ,neutral,0
315,Best wishes to Bihar CM  Ji on his birthday Under his leadership the NDA Government in Bihar is undertaking numerous measures for developing the state Praying for his long and healthy life,positive,1
316,Took my first dose of the COVID vaccine at AIIMS Remarkable how our doctors and scientists have worked in quick time to strengthen the global fight against COVID I appeal to all those who are eligible to take the vaccine Together let us make India COVID free ,positive,1
317,Dear ExamWarriorsPPC is back and so is the latest edition of the  book Together let us make exams stress free MannKiBaat ,positive,1
318,During MannKiBaat today shared two audio clips that would interest you Also highlighted a unique aspect of the sports world that boost the popularity of games Hear this… MannKiBaat ,positive,1
319,During MannKiBaat I was asked what is it that I missed out during these years as CM and PM Here is what I said ,negative,-1
320,What I have missed in these long years of serving as Chief Minister and Prime Minister MannKiBaat Asked on the show Here is my answer to that Listen to it  ,negative,-1
321,National Science Day is about celebrating those innovators who are doing pioneering work in science Highlighted the rich legacy of Indian science and shared anecdotes of how science is being leveraged to help others MannKiBaat ,positive,1
322,Meet Nayak Sir from Odisha…he is training many heroes who have gone on to serve our beloved Motherland MannKiBaat ,positive,1
323,The first condition of selfsufficiency is to be proud of the things of our country When every citizen joins it Selfreliant India becomes not just an economic campaign but a National Spirit There are many examples across the country where people are contributing to this campaign MannKiBaat ,positive,1
324,Whenever there is a discussion about the month of Magh and its spiritualsocial significance this discussion is not complete without the name of Sant Ravidas ji Even today his words his wisdom guides us MannKiBaat ,positive,1
325,Parabens Excelência  pelo sucesso do lançamento do satélite Amazônia do Brasil por PSLVC de  Este é um momento histórico em nossa cooperação espacial e meus melhores votos para muitos outros empreendimentos como esse no futuro,negative,-1
326,Remembering our former PM Shri Morarjibhai Desai In his long years of public service he worked tirelessly for India’s development He was known for his impeccable integrity and unwavering commitment to democracy,positive,1
327,Congratulations President  on the successful launch of Brazils Amazonia satellite by  PSLVC This is a historic moment in our space cooperation and my felicitations to the scientists of Brazil  ,positive,1
328,Congratulations to NSIL and  on the success of the st dedicated commercial  launch of PSLVCAmazonia Mission This ushers in a new era of Space reforms in the country  copassengers included four small satellites that showcase dynamism and innovation of our youth ,positive,1
329,Tune in MannKiBaat ,neutral,0
330,Tune in tomorrow at  AM MannKiBaat ,neutral,0
331,India has a tradition in the field of toys as well as technology India also has concept and competition We can take the world back to EcoFriendly Toys Our Software Engineers can take Indias stories to the world through Computer Games ,positive,1
332,Screentime has replaced playtime in families nowadays But you must understand the role of games and toysI would appeal to all parents that the way you get involved in learning with children get involved in their sports as well ,positive,1
333,Indian sports and toys have the specialty that they have knowledge science entertainment and psychology ,positive,1
334,My appeal to the Toy Manufacturers of the country is to make toys that are good for both Ecology and Psychology ,positive,1
335,Indias creative relationship with toys is as old as the history of this terrainEven today Indian toys are much simpler and cheaper than modern fancy toys they are also associated with the sociogeographical environment ,positive,1
336,The great Bir Chilarai is synonymous with valour and patriotism He was an outstanding warrior who fought for people and the principles he held sacred His bravery will continue to motivate the coming generations Remembering him on his Jayanti,positive,1
337,Speaking at The India Toy Fair  Watch ,positive,1
338,Greetings to Karnataka CM  Ji on his birthday Yediyurappa Ji is one of our most experienced leaders who has devoted his life towards the welfare of farmers and empowering the poor Praying for his long and healthy life,positive,1
339,Warmest wishes to all the countrymen on Magh Purnima,positive,1
340,The message given by Sant Ravidas ji on equality goodwill and compassion centuries ago is going to inspire the countrymen for ages and years My regards to him on his birth anniversary ,positive,1
341,At  AM tomorrow th February will inaugurate The India Toy Fair  This Fair will bring together various stakeholders associated with the sector Through such efforts we aim to add momentum to the efforts of toy industry to grow further ,positive,1
342,My remarks at the start of KheloIndiaWinterGames earlier today ,neutral,0
343,Thank you  We are all together in the fight against this pandemic India is committed to sharing resources experiences and knowledge for global good ,positive,1
344,My request to young doctors ,neutral,0
345,Indias health sector is being transformed and this will particularly help our youth ,positive,1
346,COVID was unexpected with no preset formula to fight itIn such times Indias people powered approach was very beneficial ,negative,-1
347,Speaking on aspects relating to financial services in this year’s Budget ,neutral,0
348,Addressing the convocation of Dr MGR Medical University ,neutral,0
349,Upgrading infrastructure at the VOC Port and giving a boost to portled development ,positive,1
350,Powering and empowering Tamil Nadu ,neutral,0
351,Scaling up urban infrastructure to boost ‘Ease of Living’ ,positive,1
352,Ensuring ‘Housing for All’ Today’s housing projects will benefit the people of Tamil Nadu ,positive,1
353,The hardworking farmers of Tamil Nadu will gain from the modernisation of the Bhavanisagar Dam ,positive,1
354,India is seeing two distinct styles of politics The Opposition’s misgovernance with corruption NDA’s governance with compassion ,positive,1
355,In Coimbatore highlighted the steps taken by the NDA Government for the MSME sector ,neutral,0
356,We want Puducherry to be the BEST Business hub Education hub Spiritual hub Tourism hub ,positive,1
357,Puducherry is happy for two reasons Find out which are the two reasons ,positive,1
358,Coimbatore is a city of enterprise and energy Speaking at a massive rally Watch ,positive,1
359,Thank you Tamil Nadu for such a warm welcome On the way to the BJP rally in Coimbatore Do watch ,positive,1
360,Anguished by the demise of Sri Vishnu Narayanan Namboothiri His pioneering contribution to the world of culture and literature will be remembered His widely read works reflect compassion and sensitivity Condolences to his family and admirers Om Shanti,positive,1
361,Inauguration of projects at Coimbatore Tamil Nadu ,neutral,0
362,Addressing a rally in Puducherry Watch ,neutral,0
363,Furthering ‘Ease of Living’ for the people of Puducherry ,neutral,0
364,Tributes to Sri Mannathu Padmanabhan Ji on his Punya Tithi We recall his long lasting contributions towards social welfare and youth empowerment His rich thoughts continue to motivate many,positive,1
365,Leaving for Puducherry and Tamil Nadu to inaugurate development works that will further ‘Ease of Living’ and economic growth ,positive,1
366,Chaired the th PRAGATI meeting during which  important projects worth Rs  crore spread across  states were reviewed ,positive,1
367,India is proud of Tamil Nadus contribution to national development The vibrant culture of the Tamils ​​became world famous The Central Government is proud to work for the development of Tamil Nadu I will be in Coimbatore tomorrow to launch various projects,positive,1
368,India is proud of Tamil Nadu’s contribution to national progress The vibrant Tamil culture is popular globally Central Government is honoured to be working for TN’s growth Will be in Coimbatore tomorrow to inaugurate various projects ,positive,1
369,Three years ago in February  I had the opportunity to visit Puducherry and Auroville Here are some pictures from the visit ,positive,1
370,Scenic and spectacular Puducherry is home to rich history vibrant culture and wonderful people I would be in Puducherry tomorrow th February to inaugurate development works relating to infrastructure ports healthcare and sports ,positive,1
371,Speaking on various reforms undertaken in this year’s Budget Watch ,neutral,0
372,Our Government had the honour of ushering a historic increase in MSP We doing everything possible to double the income of farmers You can find insightful content on the NaMo App offering a glimpse of the work done for farmers KisanKaSammanPMKisan ,positive,1
373,Over the last  years the Government of India has taken many initiatives for transforming agriculture From better irrigation to more technology more credit and markets to proper crop insurance focus on soil health to eliminating middlemen the efforts are allencompassing,positive,1
374,On this day  years ago the PMKisan scheme was launched with an aim to ensure a life of dignity as well as prosperity for our hardworking farmers who work day and night to keep our nation fed The tenacity and passion of our farmers is inspiring  KisanKaSammanPMKisan ,positive,1
375,The PM Kisan Nidhi has played an important role in the resolution that the country has taken to make the lives of donors easier and double their income Today our farmers are also becoming an integral part of the selfreliant India campaign KisanKaSammanPMKisan,positive,1
376,The launch of PM Kisan Nidhi is completing two years today The changes in the lives of crores of farmers and siblings with this scheme dedicated to the welfare of donors have inspired us to do more work for them  KisanKaSammanPMKisan ,positive,1
377,Remembering Jayalalithaa Ji on her birth anniversary She is widely admired for her propeople policies and efforts to empower the downtrodden She also made noteworthy efforts to empower our Nari Shakti I will always cherish my several interactions with her ,positive,1
378,Leveraging the talent of our youth to solve global challenges ,positive,1
379,Students passing out of University often face many dilemmas The answer to them is simple SelfThree ,neutral,0
380,India’s IITs are powerhouses of innovation who are making India proud globally ,positive,1
381,This victory in every corner of Gujarat is very special It is very remarkable for a party that has been in power for more than two decades to achieve such a spectacular victory BJP from all sections of society especially the youth of Gujarat Is going to overwhelm the support ,positive,1
382,I applaud the efforts of every  BJPGujarat activist who reached out to the people across the state and made them aware of the partys vision The public interest policies of the Gujarat government have brought about positive change in the state,positive,1
383,Thank you GujaratThe results of the municipal elections across the state clearly show that people have reposed their faith in the politics of development and good governance I am grateful to the people of the state for reposing confidence in the BJP once again It has always been an honor to serve the people of Gujarat ,positive,1
384,Todays victory in the whole of Gujarat is special Achieving such an extraordinary victory is a significant event for a party that has been in the service of the state for more than two decades The widespread proBJP support of all sections of society especially the youth of Gujarat is inspiring,positive,1
385,I appreciate the efforts of every activist of  BJPGujarat who reached out to the people and expanded our partys vision for the state The propeople policies of the Gujarat government have had a positive impact across the state,positive,1
386,Thank you GujaratThe results of municipal elections across the state clearly show that people have unshakable faith in the politics of development and good governance Once again I thank the people of the state for trusting the BJPIt is always an honor to serve Gujarat ,positive,1
387,Today’s win across Gujarat is very special For a party that is serving in a state for over two decades to record such a phenomenal win is noteworthy It is heartening to see widespread support from all sections of society particularly the youth of Gujarat towards BJP,positive,1
388,I would like to appreciate the efforts of each and every Karyakarta of  who reached out to people and elaborated on our Party’s vision for the state The Gujarat government’s propeople policies have positively impacted the entire state,positive,1
389,Thank you Gujarat Results of municipal elections across the state clearly show the unwavering faith people have towards politics of development and good governance Grateful to the people of the state for trusting BJP yet again Always an honour to serve Gujarat,positive,1
390,Speaking at the Convocation of  Watch ,neutral,0
391,Working towards a vibrant health sector ,positive,1
392,Improving connectivity and convenience for West Bengal ,positive,1
393,West Bengal’s development will happen with Ashol Poriborton when‘Syndicate Raj’ is over ‘Cut culture’ finishes State patronage of criminal elements ends Rule of law prevails ,negative,-1
394,West Bengal has the potential to be a powerhouse of industry and innovation A BJP Government in the state will undo the stagnation caused by those parties who ruled the state for years ,positive,1
395,The Center has given more than Rs  crore to the TMC government to supply water to every household but only Rs  crore has been spentDoes the state government not care about the sisters and daughters of West Bengal Can people who have done injustice to the daughter of Bengal be forgiven ,negative,-1
396,Those parties who ruled West Bengal for decades did not devote attention towards Hooghly’s development BJP will serve Hooghly with vigour and ensure qualitative development ,positive,1
397,Inaugurating development works in Hooghly ,neutral,0
398,Strong support all over West Bengal for  Watch from Hooghly ,positive,1
399,Enabling study of engineering and technical education in local languages will open many opportunities for youngsters ,positive,1
400,Basic amenities instil a spirit of selfconfidence among people This selfconfidence will make India Aatmanirbhar ,positive,1
401,It is a matter of immense happiness for our Government that we have got the opportunity to serve people of the North Bank of Assam ,positive,1
402,Launch of various projects for Assam’s growth UnnataAxom ,positive,1
403,Speaking at the Webinar for effective implementation of Union Budget provisions in the Defence Sector ,positive,1
404,Leaving for Assam and West Bengal to inaugurate various projects They will add momentum to India’s development journey ,neutral,0
405,Earlier today attended a meeting of  leaders We had extensive discussions on the good governance agenda of the Party and ways to further increase the connect with people in the times to come ,positive,1
406,Other projects being inaugurated include rd line between Kalaikunda and Jhargram Doubling of Azimganj to Khargraghat Road section th line between Dankuni and Baruipara of Howrah – Bardhaman Chord Line rd line between Rasulpur and Magra of Howrah–Bardhaman Main Line,neutral,0
407,You would be happy to know that the two newly built stations of Baranagar and Dakshineswar have many modern facilities that will further ‘Ease of Living’ They have also been designed aesthetically ,positive,1
408,From Hooghly the extension of Metro Railway from Noapara to Dakshineswar will be inaugurated This project is special because it will improve access to the sacred Maa Kali Temples at Kalighat and Dakshineswar These temples are vibrant symbols of India’s great culture ,positive,1
409,The great soil of West Bengal has nurtured extraordinary individuals who have contributed towards national progress It’s our vision amp effort to ensure West Bengal gets top quality development Tomorrow I will be in Hooghly to inaugurate various projects ,positive,1
410,The other projects that will be inaugurated are Third line between Kalaikunda and Jhargram Azimganj and Khagraghat road branch second line The fourth line between Dunkuni and Baruipara on the HowrahBurdwan cord line Third line between Rasulpur and Mogra on HowrahBurdwan main line ,neutral,0
411,You will be happy to know that the two newly constructed stations at Barahanagar and Dakshineswar have many stateoftheart facilities which will be more conducive to a simple life These stations have a touch of visibility ,positive,1
412,The extended section of the Metro Rail from Hooghly between Noapara and Dakshineswar will be inaugurated The project will further enhance the communication between the two holy temples of Ma Kali Kalighat and Dakshineswar so it is especially important These temples are a symbol of vibrant Indian culture ,positive,1
413,Those outstanding personalities who have made special contribution to the progress of the country have been nurtured in the holy land of Bengal Our goal and endeavor is to ensure the highest quality development in West Bengal I will inaugurate a series of communication projects in Hooghly tomorrow,positive,1
414,The Dhemaji Engineering College would be inaugurated The foundation stone for the Sualkuchi Engineering College would also be laid These development works will bring an era of prosperity for the people of Assam,neutral,0
415,The projects to be dedicated to the nation from Dhemaji include INDMAX Unit at Indian Oil’s Bongaigaon Refinery Oil India Limiteds Secondary Tank Farm at Madhuban Dibrugarh Gas Compressor Station at Hebeda Village Makum Tinsukia ,positive,1
416,It is always special to be in Assam Tomorrow nd February I will once again have the opportunity to interact with the people of Assam at a public meeting in Dhemaji At the programme various development works will be launched ,positive,1
417,It is always a special feeling to come to Assam I will once again have the opportunity to exchange views with the people at a public meeting in Dhemaji on  February ,positive,1
418,Speaking at the Governing Council Meeting of  ,neutral,0
419,Greetings to the wonderful people of Arunachal Pradesh on the special occasion of their Statehood Day The people of this state are known for their culture courage and strong commitment to India’s development May Arunachal Pradesh keep scaling new heights of progress,positive,1
420,Best wishes to my sisters and brothers of Mizoram on their Statehood Day The entire nation is proud of the great Mizo culture The people of Mizoram are known for their kindness and commitment towards living in harmony with nature Praying for the state’s continuous growth,positive,1
421,Development is our aim Development is our religion ,neutral,0
422,Chhatrapati Shivaji Maharaj had a special relation with India’s coasts Inspired by his ideals India is working towards Aatmanirbharta in defence and taking numerous steps for the welfare of fishermen communities ,positive,1
423,Projects that will boost ‘Ease of Living’ for the people of Kerala ,positive,1
424,Sacred Majuli lit up with celebrations in gratitude and affection PM Shri  ji your gift of the long de…,positive,1
425,Looking at the sacraments and the wealth of knowledge that the students of VisvaBharati are putting on the doorstep of the world today the world wants a lot from you has a lot of expectations ,positive,1
426,A book by the great Gandhian Dharmapal ji details a national education survey conducted by Thomas Munro in It is written that the temples of the village were not just places of worship but were associated with the most sacred work of promoting education ,positive,1
427,If the courage to make decisions is gone then suppose your youth is gone you are no longer youngAs long as the youth of India have the passion to innovate take risks and move forward I am not worried about the future of the country ,positive,1
428,Gurudeva expected from VisvaBharati that whoever comes here to learn will see the whole world in terms of India and IndiannessSo he made VisvaBharati a place to assimilate Indias rich heritage do research on it and work for the solution of the problems of the poorest of the poor ,negative,-1
429,Inaugurating development projects in Kerala BetterInfraBrightKerala ,neutral,0
430,Addressing the VisvaBharati Watch ,neutral,0
431,Speaking at the IndiaAustralia Circular Economy Hackathon Award Ceremony ,positive,1
432,Hundreds of salutations to Chhatrapati Shivaji Maharaj the immortal son of mother Bharti on his birthday The saga of his indomitable courage amazing bravery and extraordinary intelligence will continue to inspire the countrymen for ages ,positive,1
433,Tomorrow th February at  PM a number of development works for Kerala would be inaugurated These works cover a wide range of sectors including energy roads urban infrastructure and water resources ,positive,1
434,VisvaBharati is a prized centre of learning It is closely associated with the ideals of the great Gurudev Tagore Those who have studied there have distinguished themselves in many fields At  AM tomorrow th February will be speaking at VisvaBharati’s convocation,positive,1
435,If the convenience of the masses is a priority and the goal of development is unwavering then new avenues are created ,positive,1
436,“One step after another has been taken in the past years to reestablish multimodel connectivity in AssamThe effort is to make Assam and the North East the center of our cultural and trade relations with other East Asian countries ,neutral,0
437,The Mahabahu Brahmaputra program has been started in Assam today Through this Water Connectivity and Port Led Development will be strengthened in this entire region with the water of Brahmaputra ,positive,1
438,The campaign to connect different parts of Assam and the North East has been taken further today ,neutral,0
439,Spoke with my good friend PM  today Reiterated our commitment to consolidating our Comprehensive Strategic Partnership Also discussed regional issues of common interest Look forward to working together for peace prosperity and security in the IndoPacific,positive,1
440,Working towards a healthy and COVID free neighbourhood ,positive,1
441,Working towards AatmanirbharAssam Watch ,neutral,0
442,On popular demand ‘Pariksha Pe Charcha ’ will also include parents and teachers It’ll be a fun filled discussion on an otherwise serious subject I call upon my student friends their amazing parents and hardworking teachers to take part in PPC in large numbers,positive,1
443,As our brave ExamWarriors start padding up for their exams ‘Pariksha Pe Charcha ’ returns this time fully online and open to students all over the world Come let us appear for the exams with a smile and without stress PPC ,positive,1
444,Spoke to HM Sultan Haitham bin Tarik of Oman We discussed our Strategic Partnership and our close cooperation during COVID Conveyed my best wishes for one year of HM the Sultans reign and his ‘Vision ’ for Oman,positive,1
445,Tomorrow th February is a landmark day for Assam’s development journey The MahabahuBrahmaputra initiative will be launched The foundation stone for  bridges would also be laid Do watch the programme which begins at noon ,positive,1
446,Deepening connectivity improving prosperity Today’s Cabinet decision pertaining to a PLI Scheme for the telecom sector will make India a telecom manufacturing hub and generate opportunities for our youth ,positive,1
447,A request to all those youngsters in the startup world NTLF ,neutral,0
448,Leveraging the power of technology for good governance NTLF ,positive,1
449,Imprint of Indias IT industry is global NTLF ,neutral,0
450,When the chips were down your code kept things running NTLF ,neutral,0
451,Inaugurating important projects relating to Aatmanirbharta in the energy sector ,positive,1
452,Speaking at NTLF Watch ,neutral,0
453,Greetings to Telangana CM KCR Garu on his birthday Praying for his long and healthy life,positive,1
454,Yet another step towards becoming Aatmanirbhar in the energy sector At  PM tomorrow will dedicate to the nation and lay the foundation stone for key projects of the oil and gas sector in Tamil Nadu  ,positive,1
455,At  PM tomorrow th February will be speaking at the  Technology and Leadership Forum This is a vibrant platform that brings together key leaders from the world of technology and innovation NTLF,positive,1
456,Disease free and mentally strong citizens will take India to new heights ,positive,1
457,India is honoured to do whatever required to create a healthy planet with a focus on overall wellness in addition to physical fitness ,positive,1
458,India’s human centric approach is based on a healthy balance amongWelfare Wellbeing Wealth ,positive,1
459,Pleased to meet with COP Presidentdesignate  today We discussed IndiaUK cooperation on climate change agenda and COP My best wishes to UK for successful organisation of the climate summit ,positive,1
460,Today the government is doing many important works in the field of agriculture with the aim of bringing prosperity and happiness in the lives of small and marginal farmers ,positive,1
461,The way work is being done on modern infrastructure in Uttar Pradesh today investors from the country and the world are excited to set up industries in the state ,positive,1
462,Even though Maharaja Suheldevs bravery and prowess did not find the right place in the history books but in the folklore of Purvanchal he always remained in the hearts of the peopleTodays India is correcting the injustice done in the name of writing history freeing the country from mistakes ,positive,1
463,Celebrating  years of Shri Ram Chandra Mission ,positive,1
464,This evening will address a programme to mark  years of the Shri Ram Chandra Mission The Mission is at the forefront of many community service initiatives  ,neutral,0
465,Justice Retd M Rama Jois was a towering intellectual and jurist He was admired for his rich intellect and contributions towards making India’s democratic fabric stronger Saddened by his demise My thoughts are with his family and admirers in this sad hour Om Shanti,positive,1
466,A tribute to the great Maharaja Suheldev ,positive,1
467,Good initiative to showcase India’s talent traditions and toys ,positive,1
468,On the auspicious occasion of Basant Panchami and Saraswati Pooja best wishes to all of you,positive,1
469,Handed over a Chadar that would be offered at the Ajmer Sharif Dargah on the th Urs of Khwaja Moinuddin Chisti ,neutral,0
470,These reforms demonstrate our commitment to improving ease of doing business in India by deregulation mapmakingsimplified FreedomMapIndia,positive,1
471,India’s farmers will also be benefited by leveraging the potential of geospatial amp remote sensing data  Democratizing data will enable the rise of new technologies amp platforms that will drive efficiencies in agriculture and allied sectors mapmakingsimplified FreedomMapIndia,positive,1
472,The reforms will unlock tremendous opportunities for our country’s startups private sector public sector and research institutions to drive innovations and build scalable solutions This will also generate employment and accelerate economic growth FreedomMapIndia ,positive,1
473,Our government has taken a decision that will provide a huge impetus to Digital India Liberalising policies governing the acquisition and production of geospatial data is a massive step in our vision for an Aatmanirbhar Bharat mapmakingsimplified ,positive,1
474,Through inspiring examples January’s MannKiBaat highlighted diverse topics ranging from art culture tourism and agri innovation Would love to hear more such motivating anecdotes for the programme in February which will take place on the th  ,positive,1
475,My visit to Tamil Nadu was memorable Have a look at some of the highlights from yesterday ,neutral,0
476,Happy to have inaugurated development works that will have a positive impact in the lives of Keralas wonderful citizens ,positive,1
477,After decades a longstanding demand of the Devendrakula Velalar community has been fulfilled ,positive,1
478,The Government of India will always protect the rightful interests of India’s fishermen ,positive,1
479,Creating a prosperous Blue Economy in order to realise the dream of Aatmanirbhar Bharat ,positive,1
480,NDA Government will always work for the wellbeing of those Indians working in the Gulf ,neutral,0
481,It was an honour to interact with respected Bangaru Adigalar Ji in Chennai earlier today His efforts to serve society are inspiring ,positive,1
482,An interesting project that will further effective usage of water resources in Tamil Nadu It will especially benefit our farmers ,positive,1
483,Discovery Campus of IITMadras will enable the culture of research and innovation to flourish ,positive,1
484,The Chennai Metro furthers comfort and convenience for people of this dynamic city ,positive,1
485,Quicker movement of freight is good news for the world of commerce ,positive,1
486,Tamil Nadu is emerging as a tank production hub From Tamil Nadu the movement towards a modernised and selfreliant defence sector gets momentum ,positive,1
487,My speech at a programme in Kochi Kerala ,neutral,0
488,Caught a fleeting view of an interesting test match in Chennai 🏏 🇮🇳 🏴󠁧󠁢󠁥󠁮󠁧󠁿 ,positive,1
489,A special day in our journey to become Aatmanirbhar in the defence sector Arjun Main Battle Tank MKA was handed over to the Army A tank made in Tamil Nadu will protect our borders This is a glimpse of Bharat’s Ekta Darshan ,positive,1
490,Thank you Chennai Overwhelmed by the affectionate welcome ,positive,1
491,Development works that will help all sections of society Watch from Chennai ,positive,1
492,Leaving for Chennai and Kochi ,neutral,0
493,I am looking forward to reaching out to the people of Kerala,positive,1
494,The program in Kochi will initiate a number of development activities to improve local infrastructure promote trade and create opportunities for the youth of the state ,positive,1
495,I will be in Chennai tomorrow to attend an event to launch various projects ,neutral,0
496,Tomorrow th February will be in Chennai Tamil Nadu and Kochi Kerala Numerous development works would be launched that would add speed to fulfilling the vision of Aatmanirbhar Bharat The projects will boost ‘Ease of Living’ for our citizens ,positive,1
497,This speech by FM  Ji gives a comprehensive view on aspects relating to the Budget She talks about how the Budget benefits every section of society as well as gives an impetus to the Aatmanibhar Bharat movement ,positive,1
498,A wonderful speech by Home Minister Shri  in the Lok Sabha Extensive in detail and rich in content it highlights our efforts for Jammu Kashmir and Ladakh ,positive,1
499,Happy World Radio Day Greetings to all radio listeners and kudos to all those who keep the radio buzzing with innovative content and music This is a fantastic medium which deepens social connect I personally experience the positive impact of radio thanks to MannKiBaat,positive,1
500,Met newly elected  Rajya Sabha MPs Wished them the very best for their Parliamentary innings ,positive,1
501,What Deendayal Ji had was nothingThey were Aniket Akinchen neither home nor wealth but still in our heartsWhen we have such an inspiring personality such a legacy nothing can distract us from the resolutions of the nation  SamarpanDiwas ,positive,1
502,I would urge all my MPs  SamarpanDiwas ,neutral,0
503,Our ideology starts with patriotism is inspired by patriotism and is in the national interest We have grown up in the same ideology that speaks of Nation First SamarpanDiwas ,positive,1
504,In the Corona era the country put forward the spirit of Antyodaya and cared for every poor standing on the last rung With the power of selfreliance the country has also proved the Integral Human Philosophy has brought medicines to the whole world and is also providing vaccines to the world today SamarpanDiwas ,positive,1
505,It is said here  Swadesh pujyate king scholar everywhere worshiped Deendayalji is an example of this idea SamarpanDiwas ,positive,1
506,Addressing BJP MPs Watch  SamarpanDiwas ,neutral,0
507,Was happy to receive a call from my friend   Assured him that India would do its best to facilitate supplies of COVID vaccines sought by Canada We also agreed to continue collaborating on other important issues like Climate Change and the global economic recovery,positive,1
508,The life and mission of Deendayal Ji inspires us all On his Punya Tithi tomorrow th February will be addressing  MPs You can watch the speech LIVE ,positive,1
509,Tashakkur brother This is a wonderful gesture for which I am honoured AfghanHind dosti Zindabaad ,positive,1
510,India is proud of the role of the private sector in national progress and in enhancing India’s prestige globally ,positive,1
511,The view that ‘no one asked for reforms’ is deeply problematic A progressive society will always embrace reforms with changing times ,negative,-1
512,The agitators not the agitators have done the work to discredit the holy movement of the farmer Therefore it is very important for the country to differentiate between agitators and agitators ,negative,-1
513,Until we get the investment Until we modernize farming Unless we develop systems for the benefit of the smallest farmers Till then we cannot make the agricultural sector of the country strong ,positive,1
514,There is a big role of the status quo mentality in destroying the country As long as we continue to do so the younger generation of the country cannot wait long ,negative,-1
515,After the enactment of the new law has any old right of any farmer been taken away Everything is the same An additional alternative arrangement has been found ,neutral,0
516,The rites that we grew up with from Vedas to Vivekananda are Survey Bhavantu Sukhinah Survey Santu Niramaya India has shown this in the Corona period ,neutral,0
517,Addressing the World Sustainable Development Summit ,neutral,0
518,Speaking in the Lok Sabha ,neutral,0
519,At  PM this evening will inaugurate the World Sustainable Development Summit  This Summit brings together a wide range of experts to discuss ways to mitigate climate change ,neutral,0
520,Signing MoU on Shahtoot Dam with President  ,neutral,0
